created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2025-10-06 21:21:18+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-04-13 12:00:00+02:00,jZZIAgSghz_QXKYOF0W6bA,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 1 T,1,MAW,PT1M,2,2023-04-13 08:00:00+02:00
2025-10-06 21:21:19+02:00,0,BE,Planned maintenance,A03,,2023-04-12 14:30:00+02:00,VuRp6ouh8iAwSNCTTTMPHA,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 2 T,1,MAW,PT1M,2,2023-04-12 11:00:00+02:00
2025-10-06 21:21:19+02:00,0,BE,Planned maintenance,A03,,2023-04-12 14:30:00+02:00,hNL3hdH8rjGry4T_eqqmGQ,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 3 T,1,MAW,PT1M,2,2023-04-12 11:00:00+02:00
2025-10-06 21:22:44+02:00,272,BE,Planned maintenance,A03,,2023-04-06 18:00:00+02:00,K4tjaSWS8NOHJQLUXQwhtQ,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,1,2023-04-06 07:00:00+02:00
2025-10-06 21:24:21+02:00,0,BE,Planned maintenance,A03,,2023-04-13 17:00:00+02:00,ykziNnkWLzHXwL3EtB3WiA,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 1 T,1,MAW,PT1M,2,2023-04-12 14:30:00+02:00
2025-10-06 21:25:47+02:00,0,BE,Planned maintenance,A03,,2023-04-17 16:00:00+02:00,IYiTRRovmk_Z9ErcAyMb3Q,230.0,Hydro Pumped Storage,22WCOOXII000070C,Belgium,COO II T,COO 6 T,1,MAW,PT1M,1,2023-04-17 12:00:00+02:00
2025-10-06 21:26:15+02:00,443.3,BE,Planned maintenance,A03,Cancelled,2023-04-16 09:00:00+02:00,nhmgIE_iSSUIi6CpnXe4Ng,445.0,Nuclear,22WDOELX2000077N,Belgium,DOEL 2,DOEL 2,1,MAW,PT1M,2,2023-04-14 23:00:00+02:00
2025-10-06 21:26:21+02:00,0,BE,Planned maintenance,A03,,2023-04-19 00:00:00+02:00,S7Pi72b_DK5gb0jD6_Ui-g,386.2,Fossil Gas,22WZANDVL000255D,Belgium,Zandvliet Power,Zandvliet Power,1,MAW,PT1M,2,2023-04-15 01:00:00+02:00
2025-10-06 21:26:25+02:00,0,BE,Planned maintenance,A03,,2023-04-14 17:29:00+02:00,DJmFVEv5sqgzyMZjjMgPSQ,445.0,Nuclear,22WDOELX2000077N,Belgium,DOEL 2,DOEL 2,1,MAW,PT1M,5,2023-03-18 00:00:00+01:00
2025-10-06 21:26:25+02:00,443.3,BE,Planned maintenance,A03,Cancelled,2023-04-16 09:00:00+02:00,eLdO0xJCPzyQTQKaPRu8Sw,445.0,Nuclear,22WDOELX2000077N,Belgium,DOEL 2,DOEL 2,1,MAW,PT1M,2,2023-04-14 23:00:00+02:00
2025-10-06 21:28:17+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-03 14:00:00+02:00,CVlPJcd4KveRG0MmzHwINw,157.0,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG GT1,1,MAW,PT1M,2,2023-05-03 06:00:00+02:00
2025-10-06 21:28:17+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-03 14:00:00+02:00,6p9VzV2dJ6z_ClO5ULnWSA,167.0,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG ST,1,MAW,PT1M,2,2023-05-03 06:00:00+02:00
2025-10-06 21:28:17+02:00,0,BE,Planned maintenance,A03,,2023-05-02 14:00:00+02:00,xV6MEDV7aOuGNYoGKtErmg,157.0,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG GT1,1,MAW,PT1M,1,2023-05-02 06:00:00+02:00
2025-10-06 21:28:17+02:00,0,BE,Planned maintenance,A03,,2023-05-02 14:00:00+02:00,vRoG3FYaLOn028kWs0vaCA,156.3,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG GT2,1,MAW,PT1M,1,2023-05-02 06:00:00+02:00
2025-10-06 21:28:17+02:00,0,BE,Planned maintenance,A03,,2023-05-02 14:00:00+02:00,g7R3xZYS4BnOceZe22QhKA,167.0,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG ST,1,MAW,PT1M,1,2023-05-02 06:00:00+02:00
2025-10-06 21:28:17+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-03 14:00:00+02:00,8ov4i7ZIGFy8PeBlf5VjLQ,156.3,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG GT2,1,MAW,PT1M,2,2023-05-03 06:00:00+02:00
2025-10-06 21:30:10+02:00,0,BE,Planned maintenance,A03,,2023-04-25 18:00:00+02:00,MWwjUf9XqMGwn210YRE9kQ,160.0,Fossil Gas,22WDROGEN0000863,Belgium,DROGENBOS TGV,DROGENBOS ST,1,MAW,PT1M,1,2023-04-25 06:00:00+02:00
2025-10-06 21:30:10+02:00,0,BE,Planned maintenance,A03,,2023-04-25 18:00:00+02:00,u_hZQbMc4AzbOvwXYmEjYw,150.0,Fossil Gas,22WDROGEN0000863,Belgium,DROGENBOS TGV,DROGENBOS GT1,1,MAW,PT1M,1,2023-04-25 06:00:00+02:00
2025-10-06 21:31:33+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-04-20 12:00:00+02:00,qAvOownIevQJsAAEbvJcDg,230.0,Hydro Pumped Storage,22WCOOXII000070C,Belgium,COO II T,COO 5 T,1,MAW,PT1M,2,2023-04-20 08:00:00+02:00
2025-10-06 21:31:40+02:00,0,BE,Planned maintenance,A03,,2023-04-19 16:58:00+02:00,Gg5IFi2gR8VwEn0VMU1ZvQ,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 1 T,1,MAW,PT1M,3,2023-04-19 15:40:00+02:00
2025-10-06 21:32:11+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-14 18:00:00+02:00,3uUQDg7r3XDg4vD32M35KA,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 3 T,1,MAW,PT1M,2,2023-05-08 08:00:00+02:00
